Date,Open,High,Low,Close,Adj Close,Volume
10-Feb-21,3912,3928.25,3878.5,3903,3903,1048702
9-Feb-21,3910.5,3913.5,3895,3905.5,3905.5,505173
8-Feb-21,3888.25,3911.25,3885.5,3908,3908,523552
5-Feb-21,3864,3888.5,3860,3880.25,3880.25,605142
4-Feb-21,3833,3869.75,3811.5,3864.5,3864.5,683457
3-Feb-21,3829.25,3843.5,3807.75,3823.5,3823.5,803413
2-Feb-21,3764.5,3835.75,3759.75,3818.25,3818.25,923295
1-Feb-21,3692.75,3777,3657,3765.75,3765.75,1085502
29-Jan-21,3769.5,3777,3685.5,3705.25,3705.25,1705079
28-Jan-21,3735,3823.75,3703.25,3779.25,3779.25,1446451
27-Jan-21,3845.5,3853,3706.25,3744.25,3744.25,1611192
26-Jan-21,3845.25,3862.5,3821.5,3842.5,3842.5,779412
25-Jan-21,3835,3853.5,3788.5,3848.5,3848.5,1191844
22-Jan-21,3846.5,3849.5,3813.5,3834.25,3834.25,630792
21-Jan-21,3841.25,3859.75,3836.5,3846,3846,553426
20-Jan-21,3795.75,3852.5,3788.75,3845,3845,626632
19-Jan-21,3750.25,3797,3741,3790.5,3790.5,767205
15-Jan-21,3792.75,3797.75,3741.5,3762.25,3762.25,1067450
14-Jan-21,3807.5,3817.75,3786.25,3791.25,3791.25,709837
13-Jan-21,3792.5,3813.5,3776.5,3803.75,3803.75,703893
12-Jan-21,3793.75,3806.75,3767.75,3794.5,3794.5,848854
11-Jan-21,3815.75,3820.75,3776.25,3792,3792,804542
8-Jan-21,3797.5,3824.25,3775.25,3817.5,3817.5,1035440
7-Jan-21,3751.5,3804,3742,3795.5,3795.5,760416
6-Jan-21,3716.75,3774.75,3685.5,3740.5,3740.5,1423087
5-Jan-21,3695,3729.75,3673.25,3718.25,3718.25,961746
4-Jan-21,3748.5,3773.25,3652.5,3692.25,3692.25,1290071
31-Dec-20,3725,3753,3715,3748.75,3748.75,400961
30-Dec-20,3724.25,3738.25,3716.5,3724.25,3724.25,457574
29-Dec-20,3730,3747.75,3714.5,3720,3720,650390
28-Dec-20,3682.25,3732.25,3675,3727.5,3727.5,473807
24-Dec-20,3684,3696.25,3679,3695,3695,197946
23-Dec-20,3674.5,3701.5,3651,3681.5,3681.5,639737
22-Dec-20,3684.75,3695.25,3663.75,3677.25,3677.25,869272
21-Dec-20,3718,3724.25,3596,3685.75,3685.75,1301639
18-Dec-20,3722.25,3748.25,3708,3726.25,3726.25,933634
17-Dec-20,3703.25,3727,3699.5,3721.25,3721.25,62060
16-Dec-20,3695,3711.5,3687.25,3700.75,3700.75,79520
15-Dec-20,3652.25,3695.75,3642.75,3694.5,3694.5,115720
14-Dec-20,3677.5,3698.5,3644.25,3646.5,3646.5,221323
11-Dec-20,3668.75,3675,3628,3661.25,3661.25,296527
10-Dec-20,3669.75,3681.25,3644,3668.5,3668.5,918121
9-Dec-20,3707.25,3715,3659.25,3672.5,3672.5,1143360
8-Dec-20,3682.25,3708,3664,3702,3702,672062
7-Dec-20,3695,3705,3672.25,3690.75,3690.75,664937
4-Dec-20,3668,3700,3665.5,3698,3698,567166
3-Dec-20,3671,3682,3655.25,3664.5,3664.5,716871
2-Dec-20,3661,3672.75,3642.25,3667.25,3667.25,678576
1-Dec-20,3631.25,3677.5,3625.75,3660.5,3660.5,839881
30-Nov-20,3644,3651.75,3592.25,3623.25,3623.25,993931
27-Nov-20,3629.25,3642.75,3612.75,3636.5,3636.5,347834
25-Nov-20,3635.75,3655,3615.25,3627.25,3627.25,703798
24-Nov-20,3576.25,3640,3575.25,3632.75,3632.75,763423
23-Nov-20,3546.25,3596,3545,3576,3576,755342
20-Nov-20,3560.5,3582.5,3542.5,3554.25,3554.25,754973
