Date,Close/Last,Volume,Open,High,Low
03/02/2021,3867.60,1613403,3903.25,3906.50,3865.50
03/01/2021,3898.80,1643144,3817.25,3912.00,3812.50
02/26/2021,3809.25,2891634,3823.25,3822.75,3790.00
02/25/2021,3828.00,2821972,3923.50,3842.25,3810.25
02/24/2021,3922.60,1894964,3876.25,3927.75,3884.50
02/23/2021,3877.90,2239559,3878.00,3896.00,3804.75
02/22/2021,3873.60,1476357,3905.50,3914.50,3861.25
02/19/2021,3903.00,1378608,3910.50,3931.00,3890.25
02/18/2021,3909.50,1504744,3928.25,3918.50,3906.00
02/17/2021,3928.00,1357524,3929.00,3930.00,3925.25
02/16/2021,3927.70,1422732,3930.00,3932.75,3923.50
02/12/2021,3931.00,993504,3905.25,3936.25,3921.75
02/11/2021,3911.90,1266421,3907.00,3920.50,3884.50
02/10/2021,3902.90,1530116,3912.25,3928.50,3878.25
02/09/2021,3905.50,862498,3910.50,3913.25,3895.00
02/08/2021,3908.10,938907,3889.00,3911.25,3885.50
02/05/2021,3880.25,1087184,3864.25,3888.25,3860.00
02/04/2021,3864.60,1108722,3832.75,3869.75,3811.25
02/03/2021,3823.60,1242954,3829.50,3843.50,3807.75
02/02/2021,3818.30,1383401,3764.75,3835.75,3760.00
02/01/2021,3765.70,1635392,3692.25,3777.00,3656.50
01/29/2021,3705.25,2617148,3770.25,3729.00,3695.50
01/28/2021,3779.30,2089046,3735.25,3823.50,3765.25
01/27/2021,3744.20,2504852,3845.25,3756.75,3706.50
01/26/2021,3842.60,1156033,3845.00,3862.25,3821.50
01/25/2021,3848.40,1725082,3835.50,3853.25,3788.50
01/22/2021,3834.25,1138551,3846.75,3849.00,3813.25
01/21/2021,3846.00,1029074,3841.50,3853.75,3842.25
01/20/2021,3845.00,1199672,3796.75,3852.50,3835.00
01/19/2021,3790.60,1262393,3750.00,3797.00,3740.50
01/15/2021,3762.25,1703437,3793.00,3797.75,3741.50
01/14/2021,3791.20,1132331,3808.50,3811.25,3786.25
01/13/2021,3803.80,1014664,3792.00,3813.50,3776.50
01/12/2021,3794.50,1197809,3794.25,3806.75,3768.00
01/11/2021,3792.00,1257782,3815.50,3820.75,3776.50
01/08/2021,3817.50,1546758,3797.75,3824.50,3775.00
01/07/2021,3795.60,1252993,3752.50,3804.00,3742.00
01/06/2021,3740.60,2072388,3717.50,3774.75,3685.50
01/05/2021,3718.20,1356426,3695.00,3730.00,3673.25
01/04/2021,3692.20,1972017,3748.75,3773.25,3652.50
12/31/2020,3748.75,917212,3725.00,3753.00,3715.00
12/30/2020,3724.20,738427,3724.50,3738.25,3716.50
12/29/2020,3719.90,972308,3731.00,3747.75,3714.50
12/28/2020,3727.50,731435,3682.00,3732.25,3676.00
12/24/2020,3695.00,355183,3685.25,3696.00,3678.50
12/23/2020,3681.50,993665,3674.25,3701.75,3651.00
12/22/2020,3677.30,1092854,3685.00,3695.00,3663.75
12/21/2020,3685.80,1792909,3718.25,3724.00,3596.00
12/18/2020,3706.25,1622016,3713.00,3723.00,3677.25
12/17/2020,3712.80,1207535,3697.00,3717.50,3692.00
12/16/2020,3693.70,1479619,3689.75,3704.50,3680.00
12/15/2020,3694.50,991712,3653.00,3695.75,3642.75
12/14/2020,3646.50,1453104,3677.75,3666.75,3642.75
12/11/2020,3661.25,1499354,3670.00,3665.50,3654.50
12/10/2020,3668.50,1572715,3669.50,3681.25,3644.00
12/09/2020,3672.50,1742045,3707.75,3714.75,3659.50
12/08/2020,3702.00,1087932,3682.75,3708.00,3664.25
12/07/2020,3690.80,1037878,3694.75,3705.00,3672.25
12/04/2020,3698.00,957691,3668.25,3700.00,3665.50
12/03/2020,3664.60,1087686,3671.00,3682.00,3655.25
12/02/2020,3667.30,1066094,3661.25,3672.75,3655.00
12/01/2020,3660.50,1326978,3631.00,3677.50,3626.00
11/30/2020,3623.20,1633572,3643.75,3652.00,3592.25
11/27/2020,3636.50,618389,3630.25,3642.75,3612.75
11/25/2020,3627.25,990421,3635.50,3655.00,3615.25
11/24/2020,3632.70,1247431,3576.00,3640.00,3628.25
11/23/2020,3576.00,1165672,3575.00,3584.50,3570.25
11/20/2020,3554.20,1139508,3560.00,3574.75,3542.75
11/19/2020,3580.00,1244683,3562.00,3582.75,3542.25
11/18/2020,3565.00,1279022,3604.50,3580.25,3556.50
11/17/2020,3606.80,1245189,3625.50,3630.00,3584.25
11/16/2020,3623.00,1265201,3587.00,3637.00,3586.50
11/13/2020,3582.00,1289213,3537.50,3590.00,3518.00
11/12/2020,3532.50,1657951,3574.50,3574.50,3513.00
11/11/2020,3568.00,1297823,3546.25,3576.75,3531.00
11/10/2020,3541.00,2129129,3549.50,3549.25,3533.25
11/09/2020,3544.00,2538917,3588.75,3622.75,3541.25
11/06/2020,3500.75,1559240,3508.75,3519.00,3456.75
11/05/2020,3504.75,1636962,3505.75,3514.25,3494.75
11/04/2020,3435.00,2752160,3362.75,3450.00,3431.50
11/03/2020,3361.50,1639393,3304.00,3381.25,3346.50
11/02/2020,3300.50,1811914,3260.00,3306.25,3272.00
10/30/2020,3264.75,2422522,3268.00,3296.25,3225.00
10/29/2020,3302.25,1925703,3279.00,3333.75,3250.25
10/28/2020,3263.50,2562615,3369.00,3298.00,3260.75
10/27/2020,3383.10,1536749,3394.25,3410.00,3368.25
10/26/2020,3393.50,1923121,3445.75,3446.25,3356.00
10/23/2020,3451.75,1181093,3455.75,3462.50,3431.50
10/22/2020,3449.25,1481742,3430.25,3453.00,3402.50
10/21/2020,3432.50,1655228,3437.00,3458.00,3420.50
10/20/2020,3432.25,1682779,3436.00,3469.75,3418.75
10/19/2020,3422.75,1613428,3471.00,3496.50,3410.75
10/16/2020,3462.25,1343826,3478.50,3508.50,3461.25
10/15/2020,3475.50,1622368,3479.25,3486.50,3431.50
10/14/2020,3481.00,1511979,3502.00,3524.00,3472.00
10/13/2020,3504.75,1594547,3534.00,3535.75,3491.50
10/12/2020,3532.75,1351577,3467.50,3541.00,3464.25
10/09/2020,3473.25,1149385,3447.25,3480.00,3445.25
10/08/2020,3437.50,1071099,3406.25,3447.25,3405.50
10/07/2020,3406.75,1362342,3338.00,3416.75,3332.25
10/06/2020,3353.25,997922,3392.00,3421.75,3380.25
10/05/2020,3393.00,1055258,3360.00,3400.00,3346.50
10/02/2020,3339.25,1982973,3367.00,3375.50,3300.25
10/01/2020,3367.75,1483279,3344.75,3388.00,3343.25
09/30/2020,3352.00,2107068,3330.00,3384.00,3291.25
09/29/2020,3333.75,1307023,3348.75,3363.00,3316.50
09/28/2020,3346.00,1471897,3291.00,3351.25,3287.50
09/25/2020,3287.25,1644925,3243.50,3296.25,3206.50
09/24/2020,3238.00,2245312,3228.00,3268.25,3198.00
09/23/2020,3231.25,1940379,3303.75,3319.75,3221.00
09/22/2020,3299.25,1541369,3271.50,3309.50,3256.50
09/21/2020,3275.00,2452727,3314.50,3326.25,3217.75
09/18/2020,3316.25,2296585,3345.00,3363.00,3280.75
09/17/2020,3351.00,2635623,3381.50,3386.50,3310.25
09/16/2020,3379.50,1769344,3395.75,3419.50,3373.75
09/15/2020,3405.25,859654,3379.50,3419.00,3376.00
09/14/2020,3382.50,1338325,3350.00,3402.75,3345.50
09/11/2020,3333.75,1831563,3345.25,3352.50,3322.25
09/10/2020,3340.50,2286952,3396.00,3349.75,3334.00
09/09/2020,3400.25,1963348,3315.25,3424.00,3295.50
09/08/2020,3335.50,2666308,3420.50,3447.00,3327.50
09/04/2020,3417.50,2926376,3454.75,3453.25,3383.25
09/03/2020,3461.50,2819348,3578.75,3586.50,3424.50
09/02/2020,3579.25,1787337,3529.00,3587.00,3526.25
09/01/2020,3527.00,1247767,3493.25,3530.00,3484.25
08/31/2020,3499.00,1372605,3508.50,3524.50,3490.00
08/28/2020,3504.40,1193271,3488.00,3509.50,3480.75
08/27/2020,3485.25,1617154,3479.50,3498.25,3464.75
08/26/2020,3480.25,1247358,3444.75,3483.50,3436.75
08/25/2020,3443.00,1120209,3427.00,3448.75,3421.75
08/24/2020,3427.50,1249079,3398.75,3429.50,3393.50
08/21/2020,3392.60,1178651,3383.50,3396.25,3356.75
08/20/2020,3380.75,1180306,3370.25,3387.00,3344.75
08/19/2020,3372.75,1340409,3388.75,3395.75,3365.50
08/18/2020,3387.00,997343,3379.25,3390.75,3365.25
08/17/2020,3379.75,733830,3366.00,3382.75,3364.75
08/14/2020,3361.40,1048857,3369.25,3380.50,3350.00
08/13/2020,3367.75,1181425,3367.75,3382.00,3357.50
08/12/2020,3370.00,1368322,3339.50,3382.50,3326.25
08/11/2020,3330.00,1711839,3350.25,3379.00,3319.50
08/10/2020,3352.75,1178925,3347.00,3357.25,3329.00
08/07/2020,3344.75,1578995,3343.75,3347.75,3322.25
08/06/2020,3344.25,1336643,3317.00,3345.50,3300.50
08/05/2020,3316.00,1085453,3300.75,3323.25,3292.00
08/04/2020,3300.00,1128759,3290.75,3300.50,3271.00
08/03/2020,3288.50,1227721,3272.00,3295.50,3254.75
07/31/2020,3263.50,2225251,3269.25,3273.75,3212.50
07/30/2020,3248.75,1979486,3256.75,3269.00,3195.00
07/29/2020,3252.50,1181427,3215.00,3257.00,3204.25
07/28/2020,3213.00,1358698,3235.00,3246.75,3208.00
07/27/2020,3232.25,1266911,3210.75,3235.00,3192.00
07/24/2020,3204.00,1731386,3230.00,3239.00,3191.50
07/23/2020,3227.50,1679932,3267.75,3284.50,3214.25
07/22/2020,3265.50,1319390,3249.25,3271.75,3227.25
07/21/2020,3251.30,1431427,3243.75,3273.25,3239.25
07/20/2020,3245.25,1370348,3214.50,3250.50,3190.25
07/17/2020,3213.90,1229991,3198.50,3225.25,3194.75
07/16/2020,3194.50,1446031,3223.25,3228.50,3188.50
07/15/2020,3219.50,1890635,3204.00,3233.25,3192.00
07/14/2020,3183.50,2224985,3159.75,3192.25,3156.50
07/13/2020,3148.25,2031793,3183.50,3226.25,3140.50
07/10/2020,3178.40,1386186,3142.25,3181.25,3111.50
07/09/2020,3141.00,1859891,3166.25,3170.75,3105.25
07/08/2020,3163.50,1491126,3135.25,3166.25,3125.50
07/07/2020,3136.50,1311822,3170.00,3184.00,3132.50
07/06/2020,3172.00,1228130,3121.25,3174.50,3121.25
07/02/2020,3129.00,1513180,3101.75,3156.50,3095.50
07/01/2020,3103.00,1501685,3085.25,3117.75,3062.75
06/30/2020,3090.25,1649201,3053.75,3101.25,3050.50
06/29/2020,3047.75,1551281,2986.25,3051.25,2983.50
06/26/2020,3007.00,2148233,3071.25,3082.00,2992.50
06/25/2020,3070.75,1934551,3046.75,3079.50,3005.00
06/24/2020,3049.00,2347038,3113.25,3128.50,3019.75
06/23/2020,3118.50,1511742,3111.75,3145.75,3060.00
06/22/2020,3110.75,1360003,3040.25,3114.25,3027.25
06/19/2020,3059.50,1905392,3096.75,3144.75,3056.75
06/18/2020,3098.00,1617572,3104.00,3120.00,3064.50
06/17/2020,3107.00,1829020,3111.75,3147.00,3094.50
06/16/2020,3128.75,1347558,3076.25,3167.75,3071.25
06/15/2020,3073.00,1895278,2992.75,3079.25,2935.00
06/12/2020,3034.80,2797954,3011.75,3087.75,2982.00
06/11/2020,3010.25,3475414,3183.75,3188.50,2996.25
06/10/2020,3186.00,1954912,3204.75,3227.25,3179.75
06/09/2020,3205.50,1662129,3227.75,3231.00,3190.00
06/08/2020,3227.50,1560976,3192.50,3231.25,3183.25
06/05/2020,3186.75,2350760,3113.25,3210.50,3106.50
06/04/2020,3110.50,1802216,3117.75,3126.75,3087.50
06/03/2020,3117.75,1577946,3078.00,3129.50,3074.25
06/02/2020,3077.00,1416184,3052.75,3079.00,3035.00
06/01/2020,3054.00,1251198,3029.75,3059.00,3008.00
